id,date,tl,age_KNOWN,artic_John,spine_John,otolith_John,artic_Bob,spine_Bob,otolith_Bob
733,010898,331,1,1,2,1,1,1,0
735,010898,312,1,NA,1,1,1,1,1
695,041598,328,1,1,1,1,1,1,1
770,032398,325,1,2,2,0,1,1,1
727,010898,314,1,1,1,1,1,1,1
790,032398,310,1,3,1,1,1,1,1
736,010898,310,1,1,1,1,1,1,1
796,041598,311,1,1,0,1,1,1,1
725,010898,323,1,2,1,1,1,1,1
732,010898,310,1,1,1,1,1,1,1
721,010898,328,1,1,1,1,1,1,1
911,041598,357,1,1,1,1,1,1,1
904,032398,308,1,2,1,1,1,1,1
711,041598,322,1,1,2,NA,1,1,NA
724,010898,326,1,1,1,NA,1,1,NA
726,010898,315,1,1,1,NA,1,1,NA
730,010898,326,1,1,1,NA,1,1,NA
737,010898,328,1,1,1,NA,1,1,NA
738,010898,317,1,1,2,NA,1,1,NA
752,032398,300,1,1,1,NA,1,1,NA
836,041598,315,1,1,2,NA,1,1,NA
849,041598,324,1,1,1,NA,1,1,NA
940,041598,296,1,1,1,NA,1,1,NA
802,041598,340,1,2,2,NA,1,1,NA
729,010898,313,1,3,1,NA,1,1,NA
722,010898,318,1,6,2,NA,1,1,NA
728,010898,325,1,NA,6,NA,1,1,NA
723,010898,352,1,1,1,NA,2,1,NA
779,100598,371,2,2,2,2,2,2,2
924,062998,300,2,3,2,2,2,2,3
773,062998,340,2,2,2,2,1,2,2
883,062998,337,2,3,2,2,2,2,2
106,051998,311,2,2,2,1,2,2,2
104,100598,323,2,6,2,NA,2,2,NA
761,051998,329,2,2,2,1,2,2,2
917,051998,295,2,2,2,1,2,2,2
708,062998,321,2,3,3,2,2,2,2
893,051998,300,2,3,2,2,2,2,2
105,100598,375,2,2,2,NA,2,2,NA
710,100598,371,2,2,2,NA,2,2,NA
800,062998,298,2,2,2,NA,2,2,NA
831,100598,366,2,2,2,NA,2,2,NA
897,100598,408,2,2,2,NA,2,2,NA
919,051998,303,2,2,2,NA,2,1,NA
937,051998,320,2,3,2,NA,2,2,NA
812,100598,367,2,2,3,NA,8,2,NA
783,070199,363,3,5,4,3,3,3,3
102,070199,387,3,4,4,3,3,3,3
885,070199,347,3,3,3,3,3,3,3
100,070199,391,3,4,5,3,3,3,3
912,070199,371,3,4,3,3,3,3,3
801,070199,374,3,5,5,3,4,3,3
756,070199,366,3,3,4,3,3,3,3
813,070199,398,3,4,3,3,3,3,3
101,070199,343,3,4,4,3,3,3,3
936,070199,388,3,4,5,3,3,3,3
750,070199,375,3,5,5,3,3,3,3
103,070199,352,3,5,4,3,3,3,3
785,070199,338,3,6,3,3,3,3,3
811,070199,362,3,3,4,3,3,3,3
908,070199,374,3,3,3,NA,3,3,NA
915,070199,390,3,5,3,NA,3,3,NA
1001,071300,471,4,NA,5,5,NA,5,4
1002,071300,424,4,NA,5,4,NA,5,4
1003,071300,462,4,NA,5,3,NA,3,4
