tl,sex,otoliths_R1,otoliths_R2
128,I,2,2
111,I,2,2
110,I,2,3
122,I,2,2
109,I,1,2
113,I,1,1
105,I,1,1
161,I,3,3
178,I,3,3
103,I,1,1
100,I,1,1
113,I,1,2
106,F,2,2
110,I,2,2
112,I,2,2
112,I,2,2
119,I,2,2
119,I,2,2
209,F,4,4
203,F,4,4
132,F,2,2
141,F,2,3
161,F,3,3
166,F,3,3
91,F,1,1
100,I,2,2
117,F,2,2
110,I,2,2
118,I,2,2
136,I,3,3
118,I,2,2
116,I,2,2
115,I,2,2
116,I,2,2
105,I,1,1
133,F,2,2
155,F,2,3
181,F,3,4
185,F,4,4
186,F,4,4
188,F,4,4
191,F,4,4
192,F,4,4
193,F,4,5
193,F,4,4
193,F,4,4
194,F,4,4
195,F,3,4
195,F,4,4
195,F,4,3
195,F,4,4
195,F,4,5
195,F,4,4
196,F,4,4
197,F,5,5
198,F,5,5
198,F,4,4
198,F,4,5
199,F,5,4
199,F,3,4
199,F,4,4
200,F,4,4
200,F,5,4
200,F,4,4
200,F,4,4
200,F,4,4
200,M,5,5
201,F,5,5
202,F,5,5
202,F,4,5
202,F,4,5
202,F,5,6
203,F,4,5
203,F,4,5
203,F,5,4
204,F,5,5
204,F,4,4
204,F,5,4
204,F,4,4
204,F,5,4
204,F,5,5
205,F,5,4
205,F,4,4
205,F,4,4
205,F,4,5
205,F,5,5
206,F,4,4
206,F,4,4
206,F,5,5
206,F,5,5
206,F,4,4
206,F,4,4
206,F,5,5
206,F,5,4
207,F,5,5
207,F,5,4
207,F,4,4
207,F,5,4
207,F,4,4
207,F,5,4
207,F,5,5
208,F,4,4
208,F,4,4
208,F,6,5
208,F,4,4
208,F,4,5
208,F,4,4
209,F,4,5
209,F,4,4
209,T,4,4
209,F,4,5
209,F,5,4
209,F,5,5
209,F,5,5
209,F,5,5
210,M,4,6
210,F,4,4
210,F,5,5
210,M,4,4
210,F,5,5
210,F,4,4
210,F,4,5
210,F,5,5
210,F,5,5
210,F,4,4
211,F,5,5
211,F,4,4
211,F,5,5
211,F,3,4
211,F,5,5
211,F,5,5
212,F,4,4
212,F,4,4
212,F,4,5
212,F,4,5
212,F,5,5
212,F,4,5
212,F,5,5
213,M,6,6
213,F,5,4
213,F,5,5
213,F,5,5
213,F,6,6
214,F,4,4
214,M,5,5
214,F,5,5
214,M,5,5
214,F,6,6
214,F,5,5
215,F,5,6
215,M,4,4
215,M,6,5
215,F,5,5
215,F,5,5
215,F,5,5
215,F,5,5
216,F,5,5
216,F,6,5
216,F,4,4
216,F,5,5
216,F,5,5
216,F,5,5
217,F,6,6
217,M,6,6
217,F,5,5
217,M,6,5
217,F,6,6
217,F,5,5
217,F,5,6
218,F,5,5
218,F,5,5
218,F,5,5
218,F,5,5
218,F,6,5
218,F,6,6
219,F,6,5
219,F,6,6
219,F,5,5
219,F,5,5
219,F,5,4
220,F,5,5
220,F,6,5
220,F,5,6
220,F,5,5
220,F,4,4
220,F,5,5
220,F,6,6
220,F,5,6
221,M,5,6
221,M,6,5
221,F,5,6
221,F,6,6
221,F,5,4
221,F,5,6
221,F,6,6
222,F,6,6
222,F,5,5
222,F,6,5
222,F,6,6
222,F,5,5
223,F,6,6
223,F,6,6
223,M,6,5
223,F,6,5
223,F,5,5
223,M,7,7
224,F,6,6
224,F,6,5
224,F,6,6
224,M,6,6
224,F,5,5
224,M,7,8
225,F,6,6
225,NA,6,6
225,M,6,5
225,F,6,6
225,F,6,5
225,M,6,5
225,M,6,5
225,F,6,6
225,M,6,5
226,M,7,6
226,F,7,6
226,M,7,6
226,F,6,6
226,F,7,6
226,F,6,6
226,M,6,5
226,F,7,6
227,M,7,5
227,F,7,6
227,F,6,5
227,F,6,6
227,M,6,5
228,F,6,7
228,M,7,5
228,F,7,7
228,F,7,7
228,F,6,6
229,M,6,5
229,F,6,5
229,M,6,5
229,F,7,7
229,F,6,5
229,F,6,6
230,F,6,5
230,M,6,7
230,F,6,5
230,M,6,6
230,F,6,7
230,F,6,6
230,M,7,7
230,M,6,5
230,M,7,7
230,F,6,6
231,M,7,7
231,M,7,6
231,F,7,5
231,M,7,7
231,M,6,5
231,F,7,6
232,F,7,7
232,F,7,6
232,M,6,6
233,F,8,7
233,M,8,7
233,M,7,6
233,F,7,7
234,M,7,6
234,F,6,6
234,F,8,7
234,M,7,6
235,F,7,7
235,M,7,8
235,M,7,7
235,F,7,7
236,M,7,8
236,F,7,7
236,F,7,6
236,F,7,7
237,M,6,7
237,F,7,6
237,M,6,5
237,F,7,6
238,F,7,6
238,M,8,7
238,M,7,7
238,F,8,7
238,T,7,7
239,M,8,8
239,F,6,6
239,F,8,7
239,T,7,6
240,F,6,7
240,M,6,6
240,M,8,8
240,F,7,7
241,F,7,6
241,M,8,7
241,M,7,7
241,F,6,6
242,M,8,6
242,F,8,7
242,M,7,8
242,F,8,7
243,F,7,6
243,M,8,6
243,M,7,8
243,F,8,7
244,F,7,6
244,F,7,7
244,M,8,8
244,M,7,7
245,F,7,8
245,F,7,7
245,M,7,7
245,M,7,7
246,F,7,7
246,F,8,7
246,F,8,7
246,M,8,8
247,F,8,7
247,F,8,8
247,M,7,6
247,F,7,8
248,M,8,8
248,F,8,9
248,F,8,8
248,M,7,7
249,M,7,8
249,F,7,6
249,M,8,8
249,F,7,6
250,M,8,8
250,M,8,8
250,F,9,9
250,F,8,7
251,F,8,8
251,F,8,8
251,M,8,6
251,M,8,8
252,F,7,8
252,M,8,8
252,M,8,8
252,M,8,7
253,M,7,7
253,M,8,8
253,M,7,6
253,F,8,8
254,F,7,9
254,M,8,8
254,M,8,8
254,F,7,7
255,F,7,8
255,M,8,7
255,M,9,9
256,F,8,8
256,M,7,8
256,F,8,8
256,M,8,8
257,M,7,8
257,M,8,7
257,F,8,7
257,M,8,8
258,F,8,7
258,M,8,8
258,M,7,7
258,F,8,8
259,M,8,8
259,F,9,8
259,M,7,6
259,F,8,10
260,M,9,9
260,F,8,8
260,M,8,8
260,F,8,9
261,F,8,8
261,M,9,9
261,M,8,8
261,F,9,8
262,F,8,7
262,M,8,9
262,M,8,8
262,F,8,8
263,M,8,10
263,M,7,7
263,F,8,8
263,F,9,8
264,M,7,8
264,F,9,9
264,M,8,8
264,F,9,8
264,M,8,8
264,M,8,8
265,F,8,9
265,M,8,7
265,M,7,9
265,M,9,8
266,M,8,9
266,M,9,8
266,F,8,8
266,M,8,9
267,F,9,10
267,M,8,8
267,M,8,7
267,F,9,9
268,M,9,8
268,M,8,9
268,F,9,8
268,F,8,9
269,M,9,9
269,M,7,8
269,M,8,8
269,F,8,9
270,M,8,8
270,F,9,8
271,M,9,8
271,M,9,10
271,M,9,10
272,M,9,9
272,F,9,8
272,M,9,9
272,F,8,7
273,M,9,9
273,M,8,9
273,F,9,9
273,M,10,9
274,M,9,9
274,M,9,7
274,F,9,8
274,M,9,9
275,M,9,9
275,F,8,9
275,F,10,9
275,M,10,9
276,F,10,11
276,F,10,9
276,M,8,8
276,M,10,9
277,F,10,9
277,F,8,10
277,M,9,9
277,M,11,11
278,M,10,9
278,M,9,8
278,F,10,10
278,M,9,9
279,M,9,9
279,M,8,8
279,M,9,9
279,F,8,9
280,M,10,11
280,F,10,10
280,F,9,9
280,M,9,8
281,M,10,9
281,F,9,9
281,M,9,8
281,M,9,10
282,M,10,9
282,F,9,9
282,M,9,9
282,M,9,8
283,M,10,10
283,M,10,9
283,M,9,10
283,M,9,11
284,M,9,9
284,M,9,8
284,M,9,9
284,M,9,9
285,M,10,10
285,M,10,11
285,M,9,9
285,F,9,9
286,M,8,8
286,F,9,10
287,M,10,9
287,F,11,10
287,M,10,9
287,M,10,9
288,M,9,9
288,M,9,10
288,M,10,10
288,M,9,9
289,M,9,9
289,M,9,9
289,M,10,10
289,M,10,10
290,M,10,9
290,M,10,11
290,M,11,10
290,M,8,9
291,M,11,11
291,M,8,10
292,M,10,9
292,M,9,10
292,M,9,9
292,M,9,9
293,M,10,9
293,M,11,12
293,M,10,11
293,F,9,9
294,M,10,9
294,M,11,9
294,M,10,10
294,M,9,10
295,M,8,9
295,M,10,10
295,M,11,10
295,M,11,11
296,M,10,9
296,M,10,9
296,M,11,10
296,M,11,11
297,M,10,10
297,M,9,10
297,M,10,10
298,M,10,11
298,M,11,10
299,M,10,11
299,M,10,10
299,M,11,10
299,M,11,11
300,M,11,11
300,M,11,11
300,F,10,9
300,F,11,11
301,M,11,10
301,M,11,12
302,M,9,9
304,M,10,10
304,M,10,9
304,M,11,9
304,M,10,10
305,F,12,12
305,M,12,12
305,F,11,10
306,M,11,11
306,M,11,12
306,M,10,10
306,M,11,11
308,M,10,10
308,M,10,10
308,M,11,12
310,F,10,10
310,M,10,10
310,M,11,11
311,M,11,10
311,M,10,10
311,M,10,11
312,M,12,12
312,M,12,12
313,M,11,13
313,M,11,12
313,M,10,10
315,M,10,11
316,M,11,12
316,M,11,11
317,F,11,12
319,M,11,10
319,M,12,11
319,F,12,11
320,M,12,13
320,M,11,11
320,M,11,12
320,M,12,11
321,M,11,11
321,M,11,11
323,M,12,12
327,M,11,10
327,F,10,11
329,M,11,10
329,M,13,11
329,M,13,12
331,M,12,12
332,F,11,12
335,M,11,13
338,M,11,12
338,M,12,12
340,M,13,11
345,M,12,12
345,M,13,12
368,M,14,14
360,M,13,13
320,M,12,12
352,M,13,13
318,M,12,11
322,F,14,13
340,M,12,12
370,M,15,13
331,M,15,15
342,M,13,13
196,F,5,5
190,F,4,4
172,F,4,4
192,F,3,4
190,F,3,3
196,NA,4,4
106,I,1,1
380,M,17,17
359,M,15,15
318,M,12,12
362,M,15,15
