id,read1,read2,read3
1,5,6,5
2,5,4,5
3,5,5,5
4,5,5,6
5,5,5,6
6,5,5,7
7,5,5,6
8,5,5,5
9,6,6,6
10,6,6,7
11,6,6,8
12,6,5,6
13,6,6,8
14,6,6,6
15,6,6,6
16,7,7,6
17,7,7,8
18,7,8,8
19,8,8,10
20,8,8,7
21,8,9,9
22,9,9,9
23,9,9,8
24,9,9,11
25,9,9,8
26,9,9,8
27,9,9,12
28,9,9,10
29,9,10,10
30,11,11,11
31,11,11,12
32,11,11,13
33,11,11,12
34,10,11,11
35,10,11,11
36,11,11,12
37,10,12,12
38,12,12,14
39,10,12,12
40,12,13,13
41,13,13,15
42,13,13,12
43,15,14,14
44,15,15,15
45,15,15,17
46,15,15,15
47,15,15,16
48,15,15,14
49,15,15,15
50,14,15,15
51,16,16,14
52,16,16,17
53,16,16,17
54,16,16,16
55,17,17,16
56,17,17,18
57,17,18,17
58,17,18,17
59,17,17,19
60,17,17,17
61,18,18,18
62,18,18,19
63,18,18,17
64,18,17,18
65,18,18,18
66,16,19,19
67,19,19,19
68,19,20,19
69,19,19,19
70,19,19,20
71,19,19,20
72,19,19,20
73,19,19,18
74,18,19,19
75,19,19,20
76,19,19,20
77,19,20,19
78,19,19,17
79,19,20,19
80,19,19,20
81,20,19,20
82,19,20,20
83,20,20,20
84,20,20,20
85,20,20,22
86,20,20,20
87,20,20,20
88,19,20,20
89,20,20,19
90,20,21,21
91,22,23,23
92,23,23,23
93,25,25,25
94,25,25,25
95,12,14,14
96,11,11,11
97,15,15,15
98,13,13,12
99,7,7,7
100,9,9,10
101,14,14,14
102,8,8,7
103,8,8,9
104,15,15,15
105,12,12,11
106,7,8,8
107,11,11,11
108,9,9,10
109,14,14,14
110,6,6,7
111,6,6,7
112,9,10,9
113,8,8,9
114,10,10,11
115,7,7,8
116,7,7,7
117,9,9,10
118,13,12,12
119,14,15,15
120,7,7,8
121,11,11,12
122,15,15,16
123,17,18,18
124,8,8,9
125,11,11,10
126,15,17,17
127,10,10,12
128,13,15,15
129,11,11,13
130,10,10,10
131,10,10,10
132,10,11,11
133,10,10,11
134,13,15,15
135,7,7,7
136,10,10,11
137,8,8,9
138,13,13,14
139,12,13,12
140,6,7,7
141,9,9,11
142,7,7,7
143,12,12,12
144,9,9,10
145,13,13,13
146,12,12,12
147,11,11,11
148,12,12,13
149,9,9,9
150,11,12,11
151,7,7,7
152,12,13,12
153,15,16,16
154,8,8,8
155,15,17,15
156,11,11,11
157,6,6,6
158,8,9,9
159,8,8,8
160,7,7,8
161,9,9,9
162,10,11,11
163,8,8,7
164,9,9,8
165,8,8,8
166,5,5,4
167,6,6,7
168,4,4,4
169,5,5,6
170,5,5,5
171,6,6,7
172,6,7,7
173,5,5,6
174,5,5,6
175,7,7,7
176,7,7,7
177,5,5,6
178,5,5,6
179,16,16,16
180,13,13,13
181,14,14,15
182,14,14,15
183,14,14,13
184,16,16,15
185,16,17,16
186,12,12,14
187,15,15,15
188,14,14,14
189,12,12,13
