id,tl,reader1,reader2,structure
193,60,1,1,scales
211,64,1,1,scales
212,65,1,1,scales
182,68,1,2,scales
146,69,1,1,scales
358,71,1,1,scales
323,72,1,1,scales
233,73,1,1,scales
326,73,1,1,scales
239,74,1,1,scales
367,74,1,1,scales
170,79,2,3,scales
324,82,2,2,scales
322,82,2,2,scales
387,85,2,4,scales
173,86,2,3,scales
179,86,2,2,scales
237,87,2,1,scales
385,87,2,2,scales
320,87,2,3,scales
386,87,2,2,scales
321,88,2,2,scales
317,89,3,3,scales
144,90,2,2,scales
167,91,2,3,scales
165,92,3,3,scales
168,92,2,2,scales
226,94,2,2,scales
169,95,2,2,scales
138,95,3,3,scales
140,96,2,2,scales
205,98,2,2,scales
278,98,2,2,scales
221,98,2,2,scales
202,100,3,3,scales
137,102,2,2,scales
190,102,2,3,scales
252,102,3,2,scales
164,103,3,3,scales
188,104,2,3,scales
209,104,3,3,scales
230,105,2,2,scales
152,106,3,3,scales
135,107,4,4,scales
189,110,3,3,scales
244,110,3,4,scales
206,111,3,5,scales
162,112,3,3,scales
253,113,3,2,scales
163,114,3,3,scales
207,114,3,3,scales
157,115,3,3,scales
156,117,3,3,scales
158,117,3,2,scales
153,118,2,3,scales
161,118,3,3,scales
159,120,3,2,scales
222,120,4,4,scales
225,120,4,4,scales
224,121,4,4,scales
287,121,3,4,scales
265,122,3,3,scales
396,124,5,5,scales
183,125,3,3,scales
160,126,3,3,scales
180,130,4,4,scales
333,130,4,3,scales
344,130,3,3,scales
341,134,4,4,scales
335,136,4,3,scales
318,136,4,3,scales
355,139,4,3,scales
154,142,5,4,scales
319,143,5,6,scales
134,144,5,5,scales
181,150,6,6,scales
356,55,1,1,otoliths
388,56,1,1,otoliths
325,57,1,1,otoliths
171,57,1,1,otoliths
234,59,1,1,otoliths
193,60,1,1,otoliths
148,61,1,1,otoliths
143,62,2,2,otoliths
151,64,2,2,otoliths
182,68,2,1,otoliths
149,70,2,2,otoliths
323,72,2,1,otoliths
233,73,2,2,otoliths
367,74,2,1,otoliths
324,82,2,2,otoliths
387,85,2,2,otoliths
184,85,3,2,otoliths
139,86,3,2,otoliths
237,87,2,2,otoliths
385,87,2,2,otoliths
320,87,3,3,otoliths
142,89,2,3,otoliths
317,89,3,4,otoliths
389,89,3,4,otoliths
141,91,3,3,otoliths
167,91,3,3,otoliths
165,92,3,3,otoliths
168,92,3,2,otoliths
226,94,4,4,otoliths
166,94,3,2,otoliths
169,95,3,3,otoliths
140,96,3,3,otoliths
236,96,4,4,otoliths
186,98,2,2,otoliths
205,98,3,3,otoliths
278,98,3,3,otoliths
221,98,5,4,otoliths
136,99,4,3,otoliths
185,100,4,3,otoliths
190,102,3,4,otoliths
164,103,4,3,otoliths
188,104,7,7,otoliths
209,104,3,4,otoliths
172,109,4,5,otoliths
189,110,3,4,otoliths
206,111,5,6,otoliths
253,113,4,4,otoliths
207,114,5,6,otoliths
157,115,3,4,otoliths
158,117,3,4,otoliths
159,120,5,5,otoliths
225,120,5,6,otoliths
224,121,5,5,otoliths
396,124,7,6,otoliths
160,126,5,4,otoliths
180,130,4,5,otoliths
333,130,4,7,otoliths
341,134,8,8,otoliths
335,136,7,7,otoliths
355,139,7,6,otoliths
154,142,6,6,otoliths
319,143,8,9,otoliths
134,144,8,7,otoliths
181,150,8,10,otoliths
