id,reader1,reader2
100636,3,1
100701,2,0
110009,4,1
180014,1,0
180676,2,0
180720,1,0
180722,1,0
180723,3,2
180739,1,0
180741,2,0
180744,1,0
180746,3,2
180747,3,2
200812,3,2
200826,2,2
200828,2,0
200829,2,0
200838,3,1
200839,4,3
200845,2,0
200847,2,1
200849,2,0
200851,3,0
200853,2,1
200855,2,0
200881,3,0
200882,2,0
210328,1,0
210330,3,1
210331,3,1
210341,3,1
210342,3,0
210343,0,0
210346,1,0
210347,3,2
210360,1,0
210365,3,0
210370,2,1
210416,3,0
210441,1,0
210442,1,0
210444,1,0
210452,0,0
210467,3,1
210481,1,0
210496,1,0
210538,5,2
210539,4,1
210549,4,2
210551,2,0
210553,4,1
210557,3,1
210559,2,1
220490,2,1
220495,2,0
220505,1,0
220510,1,1
220511,3,0
220512,3,1
220532,2,1
220533,2,1
220535,1,0
220536,1,0
220536,1,0
220548,2,0
220549,2,1
220551,3,1
230151,1,0
230152,1,0
230153,2,0
230154,1,0
230180,2,1
230199,4,0
230286,2,0
240162,1,1
240171,1,0
240173,2,0
240174,3,1
240182,1,0
240209,1,0
240226,2,0
240239,2,0
240240,4,3
240244,3,1
240265,2,0
240280,2,1
240289,2,0
240295,1,0
240299,1,0
020538,2,0
020543,0,0
020566,3,2
020567,3,2
020572,3,1
020576,4,2
020578,4,2
020579,3,0
020583,3,2
020587,4,2
020588,4,2
210478,1,0
240233,2,0
010798,2,1
020539,0,0
020542,2,2
020545,2,1
020549,2,1
020550,4,3
020555,2,0
020568,5,3
020569,5,4
020571,5,2
020573,2,1
020574,1,1
020575,2,0
020582,2,0
020586,5,2
020589,4,2
100662,3,2
100673,2,2
180673,2,1
180674,2,1
180675,2,1
180718,3,2
180719,3,2
180721,2,1
180740,2,0
180742,1,0
180743,3,2
200830,1,0
200848,2,1
200850,1,0
200852,1,0
200854,1,1
200883,4,NA
200884,3,1
210329,1,2
210339,3,1
210340,3,1
210344,1,1
210345,3,1
210364,4,2
210371,1,0
210402,3,1
210417,3,1
210443,1,0
210453,0,0
210454,0,0
210455,2,1
210461,2,0
210464,4,2
210465,2,2
210466,2,1
210540,2,0
210541,2,0
210542,1,1
210548,4,2
210558,3,3
210561,2,2
220480,0,0
220491,1,0
220492,0,0
220493,0,0
220494,2,1
220507,0,0
220508,0,0
220534,1,0
220537,1,0
220541,1,0
220546,1,0
220547,2,0
220550,2,1
220552,4,1
220572,1,1
230203,3,2
230273,3,2
230274,4,1
240164,4,3
240172,1,1
240175,3,1
240202,3,2
240217,2,1
240225,2,1
240227,3,0
240234,4,2
240264,3,3
240266,4,2
240277,2,1
240290,1,0
240291,4,2
